,Brand,Reference,Google Search Code,Category,Name,Product Page URL,Price(Euros),Product Url,Product Price
39,O'NEILL,9A2478-9010 Black Out,9A2478-9010,Tees,LB BACK PRINT S/SLV T-SHIRT,,,https://www.oneill.com/eu/en/back-print-t-shirt/9A2478-9010-104.html,Not able to scrape Price.
40,O'NEILL,9A2482-2523 Burning Or,9A2482-2523,Tees,LB JACKS BASE S/SLV T-SHIRT,,,https://www.oneill.com/eu/en/jacks-base-t-shirt/9A2482-2523-152.html,€10.79
41,O'NEILL,0A3274-5900 BLUE AOP,0A3274-5900,Boardshorts,PB DOUBLE-UP SHORTS,,,https://www.oneill.com/eu/en/double-up-swim-shorts/0A3274-5900-104.html,€32.19
42,O'NEILL,0A3276-6920 GREEN AOP,0A3276-6920,Boardshorts,PB STACKED SHORTS,,,https://www.oneill.com/eu/en/stacked-swim-shorts/0A3276-6920-104.html,€39.99
43,O'NEILL,0A3280-5900 BLUE AOP,0A3280-5900,Boardshorts,PB HORIZON SHORTS,,,https://www.oneill.com/eu/en/horizon-swim-shorts/0A3280-5900-128.html,€25.19
44,O'NEILL,0A3288-3121 Mandarine,0A3288-3121,Boardshorts,PB CALI SHORTS,,,https://www.oneill.com/eu/en/cali-swim-shorts/0A3288-3121-104.html,€20.99
45,O'NEILL,9A3278-5014 Dazzling B,9A3278-5014,Boardshorts,PB VERT SHORTS,,,https://www.oneill.com/at/en/vert-swim-shorts/9A3278-5014-128.html,€20.99
46,O'NEILL,0A3172-8900 GREY AOP,0A3172-8900,Boardshorts,PB HYPERFREAK HEIST LINE,,,https://www.oneill.com/eu/en/hyperfreak-heist-line-boardshort/0A3172-8900-104.html,€34.99
47,O'NEILL,8P0274-5112 Surf Blue,8P0274-5112,Fleeces,PB JACK FZ FLEECE,,,https://www.oneill.com/fr/en/jack-full-zip-fleece/8P0274-5112-140.html,€49.99
48,O'NEILL,8P0274-6058 Forest Nig,8P0274-6058,Fleeces,PB JACK FZ FLEECE,,,https://www.oneill.com/nl/en/jack-full-zip-fleece/8P0274-6058-128.html,€49.99
